date,country_name,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,relative_humidity,rainfall_mm,snowfall_mm
2020-01-01,Monaco,0,0,0,0,,,,,39244,8.888889,5.626984,13.222222,66.595335,0,
2020-01-01,Slovenia,0,0,0,0,,,,,2080908,-1.183333,-5.011111,5.65,84.565998,0,
2020-01-01,Czech Republic,0,0,0,0,,,,,10649800,0.472222,-3.75,3.538889,80.629601,0,
2020-01-01,Ukraine,0,0,0,0,,,,,43733759,1.291667,-0.972222,3.027778,79.642149,1.397,10.16
2020-01-01,United Kingdom,0,0,0,0,,,,,66647112,2.691358,-1.234568,4.938272,93.750654,0.09525,
2020-01-01,Belarus,0,0,0,0,,,,,9449321,0.288889,-1.683333,1.527778,81.988935,0.451556,36.576
2020-01-01,Lithuania,0,0,0,0,,,,,2794184,1.972222,-1.125,4.333333,86.123078,0,
2020-01-01,Russia,,,,,,,,,145934460,-24.314815,-29.074074,-21.481481,77.329572,0.254,509.27
2020-01-01,Romania,0,0,0,0,,,,,19414458,-2.883333,-5.955556,-0.283333,82.917901,0.254,69.85
2020-01-01,Sweden,0,0,0,0,,,,,10230185,2.2,-1.155556,4.483333,66.380931,0,
2020-01-01,Macedonia,0,0,0,0,,,,,2077132,,,,,,
2020-01-01,Ireland,0,0,0,0,,,,,4904240,5.833333,2.173611,8.006944,87.762921,0.03175,
2020-01-01,Turkey,,,,,,,,,82003882,2.488889,0.733333,4.877778,88.554468,1.382889,10.16
2020-01-01,Albania,0,0,0,0,,,,,2862427,4.938889,-1.688889,11.2,48.220886,0,
2020-01-01,Netherlands,0,0,0,0,,,,,17282163,0.944444,-1.048611,2.743056,98.418977,0,
2020-01-01,Spain,0,0,0,0,,,,,46937060,4.932099,-0.444444,12.728395,79.129995,0,
2020-01-01,Norway,0,0,0,0,,,,,5328212,6.808642,3.438272,8.030864,88.377122,24.426333,240.03
